,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,age
108,Bachelors,Management,M,M,1,0,0,0,11.5701372107,0,20.0
109,Partial High School,Manual,M,S,0,1,0,0,10.3721152356,0,41.0
110,High School,Clerical,F,M,0,0,0,0,11.3269090907,1,19.0
111,Graduate Degree,Management,M,S,1,2,0,0,11.6155542529,1,30.0
112,Partial High School,Skilled Manual,F,M,1,1,2,2,10.8506178196,1,48.0
113,Bachelors,Professional,F,M,1,3,1,2,11.7978186521,1,33.0
114,Graduate Degree,Professional,M,S,1,2,0,0,11.8135040192,1,44.0
115,Graduate Degree,Professional,F,S,1,2,0,0,11.8203881057,1,44.0
116,High School,Skilled Manual,F,S,0,1,0,0,10.9642248888,0,25.0
117,Bachelors,Management,M,S,0,1,0,0,11.6377061819,0,24.0
118,Partial College,Clerical,F,M,1,1,1,2,11.3048429251,0,55.0
119,Bachelors,Clerical,F,M,1,2,0,2,11.2975516509,0,36.0
120,Bachelors,Management,F,S,1,2,0,1,11.5797239305,0,51.0
121,Bachelors,Skilled Manual,M,S,0,1,0,0,10.8550682052,0,32.0
122,Graduate Degree,Clerical,M,M,1,2,1,2,11.2992866007,1,26.0
123,Partial High School,Manual,F,M,0,0,0,1,10.4715532535,0,32.0
124,Partial College,Clerical,F,S,0,1,0,0,11.2721778677,0,19.0
125,Bachelors,Management,M,M,1,3,0,0,11.5412116131,0,33.0
126,High School,Skilled Manual,M,M,1,1,1,2,11.0396043389,1,41.0
127,Partial College,Manual,M,S,0,1,0,0,10.4518112527,1,34.0
128,Partial College,Skilled Manual,F,M,1,2,1,2,10.8788393315,1,40.0
129,Bachelors,Management,F,S,0,1,0,0,11.5730323057,0,26.0
130,Partial College,Management,F,M,1,2,0,2,11.5745848454,1,44.0
131,Partial College,Management,M,M,1,2,1,1,11.6108504051,1,38.0
132,Graduate Degree,Management,M,S,0,1,0,0,11.6315081808,1,24.0
133,Partial College,Manual,M,M,1,0,1,2,10.336697521,1,47.0
134,Graduate Degree,Management,M,M,1,2,0,3,11.6046930134,0,56.0
135,Partial College,Management,F,S,1,2,0,0,11.6234376878,1,30.0
136,Graduate Degree,Manual,F,S,1,0,1,1,10.3175489399,1,58.0
137,Partial College,Clerical,M,S,0,2,0,0,11.3186001505,0,21.0
138,High School,Clerical,M,S,1,1,0,0,11.3809129183,1,35.0
139,Graduate Degree,Clerical,M,S,0,1,0,0,11.2995094474,1,27.0
140,Partial College,Skilled Manual,F,M,1,1,0,2,10.9529971282,1,40.0
141,Bachelors,Skilled Manual,M,S,0,2,0,0,10.9347484788,1,36.0
142,Graduate Degree,Professional,F,M,1,2,0,0,11.7901252901,1,37.0
143,Partial High School,Skilled Manual,M,M,1,2,0,2,10.870984575,0,47.0
144,Partial College,Manual,M,M,1,1,0,2,10.1785022313,0,36.0
145,Bachelors,Manual,M,S,0,1,0,0,10.2366686651,0,22.0
146,High School,Skilled Manual,M,S,0,1,0,0,10.9464285563,0,31.0
147,Bachelors,Manual,M,M,1,1,1,2,10.3926502197,1,43.0
148,Bachelors,Management,F,M,1,3,0,0,11.5710339829,0,31.0
149,Graduate Degree,Professional,F,M,1,1,1,2,11.7666137401,1,26.0
150,High School,Skilled Manual,F,S,1,2,1,1,10.9150884642,1,52.0
151,High School,Skilled Manual,F,S,0,1,0,0,10.8378146469,0,21.0
152,Partial College,Skilled Manual,M,M,1,2,1,1,10.9594184802,1,31.0
153,Partial College,Clerical,F,S,1,0,1,1,11.3156323922,1,54.0
154,Bachelors,Professional,M,S,0,2,0,0,11.8204175176,0,21.0
155,Bachelors,Management,F,M,1,3,0,0,11.556396747,1,29.0
156,Partial College,Skilled Manual,F,S,0,1,0,0,10.9855130376,0,32.0
157,Partial College,Skilled Manual,M,S,0,1,0,0,10.9011739226,0,37.0
158,Bachelors,Management,F,M,1,3,0,2,11.5439395185,1,49.0
159,Partial College,Management,F,M,1,3,1,2,11.5974779881,1,36.0
160,High School,Clerical,F,S,0,2,0,0,11.2554492346,0,20.0
161,Partial College,Clerical,F,M,1,2,0,1,11.3182235873,1,39.0
162,Graduate Degree,Professional,F,S,1,1,0,0,11.7731258515,0,39.0
163,Partial College,Manual,M,S,0,0,0,0,10.5074755968,0,21.0
164,Partial College,Clerical,F,S,1,3,0,0,11.3028585407,0,39.0
165,High School,Manual,F,M,1,0,2,2,10.4676643518,1,45.0
166,High School,Skilled Manual,M,S,1,1,0,0,10.9622322522,0,40.0
167,Partial High School,Skilled Manual,M,M,1,2,1,1,11.0270038136,1,42.0
168,High School,Skilled Manual,M,M,0,0,0,0,10.9670424494,1,16.0
169,Bachelors,Management,M,S,0,2,0,0,11.5562626936,1,23.0
170,High School,Manual,M,M,1,0,0,2,10.3888107359,1,45.0
171,High School,Skilled Manual,F,M,0,2,0,0,10.8453095696,0,18.0
172,Partial College,Clerical,M,M,1,3,1,2,11.2747317256,1,51.0
173,Partial High School,Manual,M,S,0,1,0,0,10.4116295787,0,17.0
174,Partial College,Manual,M,M,1,1,1,1,10.3127786655,1,34.0
175,Partial College,Skilled Manual,M,S,1,1,1,1,10.9224070723,1,50.0
176,Partial College,Manual,F,S,0,0,0,0,10.4389570072,0,44.0
177,High School,Skilled Manual,M,M,1,2,1,2,10.953119659,1,40.0
178,Graduate Degree,Professional,M,S,1,2,0,0,11.7947906521,0,27.0
179,High School,Skilled Manual,M,M,1,1,1,2,10.8792163202,1,42.0
180,Bachelors,Clerical,F,M,1,0,1,2,11.2891567183,1,54.0
181,Bachelors,Clerical,M,M,1,2,0,1,11.3286059135,1,34.0
182,Partial College,Clerical,M,S,1,0,0,0,11.2609836971,1,34.0
183,Partial College,Skilled Manual,F,M,1,1,1,1,10.8978128232,1,43.0
184,Graduate Degree,Clerical,F,M,1,1,0,2,11.3744791568,1,37.0
185,High School,Manual,F,S,0,0,0,0,10.1968285828,0,22.0
186,Bachelors,Skilled Manual,M,M,1,0,0,2,10.8710415783,1,43.0
187,Partial College,Clerical,M,M,1,2,0,2,11.3315234852,1,40.0
188,Partial College,Clerical,F,M,1,2,1,2,11.3301918233,1,36.0
189,Bachelors,Skilled Manual,F,S,1,1,1,1,10.9004546374,0,53.0
190,Graduate Degree,Professional,F,S,1,2,0,0,11.7991264411,1,30.0
191,Partial High School,Skilled Manual,M,S,0,2,0,0,11.0082641362,1,18.0
192,Partial College,Skilled Manual,F,M,1,1,1,2,10.9190804855,1,40.0
193,Partial College,Clerical,M,M,1,1,0,2,11.3515588125,0,37.0
194,Bachelors,Professional,M,S,1,2,0,0,11.7676684535,1,28.0
195,Bachelors,Management,F,S,0,2,0,0,11.5713170071,1,29.0
196,Partial College,Clerical,F,S,0,2,0,0,11.2634636053,1,20.0
197,Graduate Degree,Management,F,M,1,3,0,0,11.5591790815,0,28.0
198,Partial College,Clerical,F,S,0,2,0,0,11.329026665,0,23.0
199,High School,Skilled Manual,M,M,1,1,1,2,11.0250185236,1,53.0
200,High School,Clerical,F,S,1,0,0,0,11.322817674,0,45.0
201,Partial College,Clerical,M,S,0,1,0,0,11.3309358531,0,21.0
202,Bachelors,Skilled Manual,F,M,0,2,0,0,10.9536271266,1,22.0
203,Graduate Degree,Management,F,M,1,3,1,2,11.60203464,1,35.0
204,Partial College,Manual,M,M,1,1,1,2,10.2351625867,0,37.0
205,High School,Skilled Manual,F,S,1,1,0,0,10.8946816544,0,44.0
206,Partial High School,Skilled Manual,M,M,1,0,0,2,10.8951825589,1,49.0
207,High School,Skilled Manual,F,M,0,1,0,0,10.9486990645,0,17.0
208,High School,Clerical,F,M,1,3,1,2,11.3566575454,1,40.0
209,Bachelors,Management,F,S,1,1,0,0,11.5997634936,0,33.0
210,Graduate Degree,Management,M,M,1,4,0,2,11.609580195,0,35.0
211,Partial College,Management,F,M,1,2,1,2,11.5517518696,1,31.0
212,High School,Skilled Manual,F,S,0,1,0,0,10.9009895398,0,17.0
213,Bachelors,Professional,F,S,1,2,0,0,11.8048709362,1,38.0
214,Bachelors,Clerical,M,S,1,1,0,0,11.2811321117,1,34.0
215,Partial College,Clerical,F,M,1,2,0,2,11.3395715782,1,36.0
216,Bachelors,Skilled Manual,M,S,0,2,0,0,10.9118286112,1,27.0
217,Partial College,Clerical,M,M,1,2,1,2,11.2612281062,1,42.0
218,High School,Manual,M,M,1,0,2,2,10.2081004856,0,50.0
219,Partial College,Skilled Manual,M,S,0,0,0,0,11.0432417845,1,33.0
220,Partial College,Skilled Manual,F,S,0,1,0,0,10.9168323972,0,18.0
221,Bachelors,Clerical,M,M,1,2,1,2,11.3293511238,1,51.0
222,Bachelors,Skilled Manual,F,M,1,0,0,3,11.0078665153,0,57.0
223,Partial College,Manual,F,M,0,0,1,1,10.2038143425,0,31.0
224,High School,Skilled Manual,M,S,1,0,0,0,10.9343740238,0,48.0
225,Partial College,Skilled Manual,M,S,1,0,0,0,10.8533097676,1,46.0
226,Graduate Degree,Clerical,M,M,1,0,1,2,11.3850125448,1,30.0
227,Partial College,Clerical,F,M,1,2,0,2,11.3134129874,1,42.0
228,Bachelors,Skilled Manual,F,S,0,0,0,0,10.9302099202,1,33.0
229,Partial College,Manual,F,S,0,1,0,0,10.4019571541,0,38.0
230,Bachelors,Professional,F,M,1,2,2,2,11.8250537782,1,37.0
231,Graduate Degree,Manual,M,M,1,1,0,3,10.2734636427,0,62.0
232,Partial College,Clerical,M,M,1,1,0,1,11.267932443,0,36.0
233,Partial College,Skilled Manual,M,S,0,0,0,0,10.8982566923,1,22.0
234,Partial College,Management,F,S,1,2,0,0,11.5329143494,1,35.0
235,Bachelors,Skilled Manual,M,M,1,1,0,2,10.9739746775,1,38.0
236,Bachelors,Management,M,M,1,2,0,0,11.5734089003,1,29.0
237,Graduate Degree,Professional,M,M,1,1,0,2,11.7943832064,0,30.0
238,Partial College,Skilled Manual,F,M,1,0,2,2,11.0275563896,1,39.0
239,Graduate Degree,Professional,M,S,1,2,1,1,11.812074045,1,58.0
240,High School,Skilled Manual,F,S,0,1,0,0,10.858421908,0,27.0
241,Graduate Degree,Professional,F,S,1,3,0,0,11.7676994576,1,26.0
242,High School,Skilled Manual,F,S,1,1,0,0,10.8586143082,0,47.0
243,Bachelors,Management,F,S,0,1,0,0,11.5855251574,0,28.0
244,Graduate Degree,Clerical,M,M,1,1,0,1,11.2953165692,1,26.0
245,Partial College,Management,F,S,1,2,0,0,11.5685020729,1,34.0
246,Graduate Degree,Clerical,M,S,1,0,0,1,11.2535198195,1,61.0
247,Bachelors,Clerical,F,M,1,1,0,2,11.3104297719,0,39.0
248,Graduate Degree,Clerical,F,S,0,2,0,0,11.3075235951,0,30.0
249,Bachelors,Manual,M,S,0,0,0,0,10.4428423224,1,20.0
250,Bachelors,Management,F,M,1,1,0,2,11.5892752082,0,38.0
251,Graduate Degree,Management,F,S,0,2,0,0,11.6032870571,1,23.0
252,Bachelors,Skilled Manual,M,M,0,1,1,1,10.9016531588,1,27.0
253,High School,Manual,F,S,0,0,0,0,10.1716044695,0,28.0
254,Graduate Degree,Management,M,M,1,3,1,2,11.62894695,1,30.0
255,Graduate Degree,Clerical,F,M,1,3,1,1,11.3088735039,1,37.0
256,High School,Skilled Manual,M,M,1,2,1,2,10.8561873563,1,45.0
257,Bachelors,Skilled Manual,F,S,0,0,0,0,10.8995686526,1,31.0
258,Bachelors,Management,M,S,1,1,0,0,11.5687007004,0,33.0
259,Partial College,Skilled Manual,F,S,0,2,0,0,10.9082652389,1,18.0
260,Bachelors,Clerical,M,M,0,2,0,0,11.3283293233,1,18.0
261,Graduate Degree,Professional,M,M,1,2,2,2,11.8132448492,1,56.0
262,Bachelors,Skilled Manual,F,M,1,0,0,2,10.8681112012,1,50.0
263,Bachelors,Clerical,F,S,1,0,0,0,11.3481333655,0,43.0
264,High School,Manual,F,S,0,0,0,0,10.5087320499,1,21.0
265,Bachelors,Clerical,F,S,0,3,0,0,11.3488288209,0,27.0
266,Bachelors,Clerical,M,M,1,1,1,2,11.2881180302,1,26.0
267,Graduate Degree,Skilled Manual,M,M,1,0,0,2,10.8548171891,0,55.0
268,Graduate Degree,Skilled Manual,F,M,1,1,1,2,10.9289555072,1,53.0
269,Partial College,Clerical,F,M,1,2,1,2,11.2983699308,1,38.0
270,High School,Manual,F,M,0,0,0,0,10.317152285,1,23.0
271,Partial College,Clerical,M,M,1,2,0,2,11.3350539918,1,39.0
272,Bachelors,Management,F,S,0,2,0,0,11.5768106477,0,26.0
273,Graduate Degree,Skilled Manual,F,M,0,0,1,2,11.0179403814,1,25.0
274,Bachelors,Management,M,S,1,2,0,0,11.6184559662,1,31.0
275,Bachelors,Skilled Manual,M,M,1,0,0,1,10.8893789711,1,31.0
276,High School,Skilled Manual,F,M,0,1,0,0,10.9555147441,0,22.0
277,Bachelors,Skilled Manual,M,S,0,2,0,0,11.0233230277,1,32.0
278,High School,Clerical,F,S,0,1,0,0,11.2528326189,0,20.0
279,High School,Skilled Manual,M,M,0,2,0,0,10.8706044697,1,23.0
280,Bachelors,Professional,M,M,1,2,0,2,11.7809888432,1,43.0
281,High School,Skilled Manual,M,M,1,0,1,2,10.9913421846,1,36.0
282,High School,Skilled Manual,M,M,1,0,1,1,10.8972021814,1,43.0
283,Partial College,Clerical,F,M,1,2,1,2,11.2842164552,1,47.0
284,Bachelors,Professional,F,M,1,1,0,2,11.7638475941,0,57.0
285,Partial College,Skilled Manual,M,M,1,1,1,2,10.8520905739,1,44.0
286,Partial College,Skilled Manual,F,S,1,2,0,0,10.8682636402,1,44.0
287,High School,Manual,M,S,0,0,0,0,10.3106512173,1,34.0
288,Partial High School,Manual,F,M,1,1,1,1,10.1462376335,0,39.0
289,Bachelors,Professional,M,M,1,2,1,2,11.8222467125,1,54.0
290,Bachelors,Skilled Manual,F,S,0,0,0,0,10.8464396894,1,36.0
291,Bachelors,Professional,M,S,1,2,0,0,11.8094384301,1,33.0
292,Partial College,Skilled Manual,M,M,0,2,0,0,10.9740432434,1,23.0
293,Partial College,Clerical,M,M,1,3,1,2,11.2669481972,1,47.0
294,Graduate Degree,Manual,M,M,0,0,1,2,10.2345523381,0,26.0
295,Partial High School,Manual,M,S,0,0,0,0,10.351852495,0,24.0
296,Graduate Degree,Professional,F,M,1,2,2,2,11.7988785436,1,28.0
297,High School,Clerical,M,S,0,1,0,0,11.3615559142,1,27.0
298,High School,Clerical,F,S,0,0,0,0,11.2690178243,1,31.0
299,Graduate Degree,Professional,M,M,1,2,0,0,11.7907238543,1,30.0
300,Bachelors,Management,F,M,1,2,0,0,11.5452087079,1,32.0
301,Partial High School,Manual,M,S,0,0,0,0,10.5002890173,0,24.0
302,Bachelors,Clerical,F,S,0,2,0,0,11.297650872,1,31.0
303,Bachelors,Skilled Manual,F,M,1,1,0,1,10.9049095618,0,33.0
304,Partial College,Skilled Manual,M,M,1,1,1,2,10.8915406506,1,31.0
305,Bachelors,Professional,M,M,1,2,2,2,11.8356898917,1,43.0
306,Bachelors,Clerical,F,S,0,2,0,0,11.3042763598,0,32.0
307,Bachelors,Management,M,M,1,0,0,2,11.6164472913,1,53.0
308,Partial College,Skilled Manual,M,M,1,2,0,2,10.9160153073,0,49.0
309,High School,Skilled Manual,M,M,1,1,1,2,11.0097372683,1,46.0
310,Partial College,Management,M,M,1,1,0,2,11.6357181536,0,41.0
311,Partial College,Clerical,F,S,0,2,0,0,11.272877333,1,26.0
312,High School,Skilled Manual,F,M,1,0,1,2,11.0157561677,1,31.0
313,Partial College,Skilled Manual,M,S,0,0,0,0,10.8455824741,1,38.0
314,Graduate Degree,Professional,F,S,1,2,1,1,11.8193066149,1,55.0
315,High School,Skilled Manual,F,S,0,1,0,0,10.9355860371,0,33.0
316,Partial College,Management,M,M,1,1,0,2,11.5739453028,1,46.0
317,Graduate Degree,Clerical,M,M,1,0,1,2,11.3678072031,1,26.0
318,Bachelors,Clerical,F,S,0,2,0,0,11.2679196668,1,28.0
319,Partial College,Clerical,F,M,1,2,1,2,11.2425068511,1,41.0
320,Partial High School,Manual,M,S,0,0,0,0,10.1890799431,0,22.0
321,High School,Skilled Manual,F,S,0,1,0,0,10.8892670329,0,17.0
322,Partial High School,Skilled Manual,F,M,1,1,1,2,10.9248587609,1,46.0
323,Graduate Degree,Professional,M,M,1,2,0,0,11.8386833647,0,26.0
324,Graduate Degree,Management,F,M,1,0,0,3,11.5478388379,1,57.0
325,Bachelors,Management,M,S,1,2,0,0,11.5723635007,1,36.0
326,Partial College,Clerical,M,M,0,3,0,0,11.3752368717,0,19.0
327,Partial High School,Skilled Manual,M,M,1,0,0,1,10.8840855288,0,30.0
328,Bachelors,Management,F,S,0,2,0,0,11.5769607345,1,27.0
329,High School,Skilled Manual,F,S,1,0,0,0,10.8798568748,1,39.0
330,Partial High School,Skilled Manual,M,S,1,1,0,0,11.0152299297,1,40.0
331,Partial High School,Manual,M,S,0,1,0,0,10.3340679481,0,32.0
332,Graduate Degree,Professional,F,M,1,0,0,2,11.8143994897,0,30.0
333,Partial High School,Skilled Manual,M,S,1,1,0,0,10.9626137595,0,40.0
334,Bachelors,Clerical,M,M,1,1,1,2,11.265297092,1,40.0
335,Bachelors,Clerical,M,M,1,2,1,2,11.3164116732,1,33.0
336,Bachelors,Management,M,M,1,3,1,2,11.5610010882,1,32.0
337,Partial College,Skilled Manual,F,S,0,2,0,0,10.8923221769,1,31.0
338,Bachelors,Clerical,F,M,0,0,0,0,11.3580361791,0,20.0
339,Partial College,Clerical,F,M,1,1,1,1,11.2731442725,1,28.0
340,Graduate Degree,Professional,M,M,1,2,0,2,11.8399316106,1,35.0
341,High School,Clerical,M,S,0,0,0,0,11.369943845,1,32.0
342,Partial College,Clerical,F,S,1,0,0,0,11.3470243517,1,37.0
343,Partial College,Management,F,S,1,3,0,0,11.5365150304,1,48.0
344,Partial High School,Manual,M,S,0,0,0,0,10.1665054495,0,26.0
345,Partial College,Clerical,M,S,0,2,0,0,11.2662573686,1,32.0
346,Partial College,Skilled Manual,F,M,1,2,0,2,10.9520513857,0,42.0
347,Graduate Degree,Manual,F,M,1,1,0,1,10.5006193047,0,43.0
348,Bachelors,Skilled Manual,F,M,1,2,0,1,10.931963459,0,31.0
349,Bachelors,Skilled Manual,F,S,0,2,0,0,10.9983595216,0,31.0
350,Partial High School,Skilled Manual,F,S,1,1,0,1,10.8818136753,0,51.0
351,Partial College,Manual,M,M,1,0,2,2,10.4321727406,1,34.0
352,Graduate Degree,Skilled Manual,M,S,0,0,0,0,10.9785070403,0,27.0
353,High School,Clerical,F,S,0,3,0,0,11.2765066865,0,29.0
354,High School,Manual,F,S,0,0,0,0,10.3748652373,0,20.0
355,Partial College,Management,F,S,1,2,1,1,11.6266737051,1,83.0
356,High School,Clerical,M,M,1,0,0,1,11.2891817336,1,24.0
357,Partial College,Manual,M,M,1,1,0,2,10.4829619886,1,41.0
358,Partial College,Skilled Manual,F,M,1,0,1,2,10.9558115448,1,48.0
359,Graduate Degree,Skilled Manual,M,M,0,0,0,1,10.9514379264,1,27.0
360,Bachelors,Clerical,F,M,1,2,1,1,11.3211836768,1,48.0
361,Bachelors,Professional,M,M,1,1,1,2,11.7792587655,1,51.0
362,Bachelors,Manual,M,S,1,0,0,1,10.4039597642,1,53.0
363,High School,Manual,F,M,0,1,0,0,10.4906073285,0,23.0
364,Graduate Degree,Clerical,F,S,0,0,0,0,11.2968816508,1,30.0
365,High School,Skilled Manual,F,M,1,1,0,2,10.9835793916,1,41.0
366,Partial High School,Skilled Manual,F,S,0,0,0,0,11.0341797347,0,23.0
