,City,StateProvinceName,CountryRegionName,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend,age,year,month,day
51,Lane Cove,New South Wales,Australia,1987-08-18,Bachelors,Professional,F,M,1,2,1,1,130385,1,55.52,29.0,1987,8,18
52,Paris,Seine (Paris),France,1984-11-16,Partial College,Skilled Manual,F,S,0,2,0,0,58227,1,50.76,32.0,1984,11,16
53,Suresnes,Hauts de Seine,France,1994-11-02,Partial College,Skilled Manual,M,S,0,1,0,0,52156,1,47.68,22.0,1994,11,2
54,Cloverdale,South Australia,Australia,1986-05-16,Graduate Degree,Professional,M,S,1,2,0,0,131458,1,57.1,30.0,1986,5,16
55,Oregon City,Oregon,United States,1998-03-18,Partial College,Manual,M,S,0,1,0,0,33510,0,46.25,18.0,1998,3,18
56,Corvallis,Oregon,United States,1966-09-15,High School,Skilled Manual,F,S,1,1,0,1,56785,0,51.34,50.0,1966,9,15
57,Paderborn,Hamburg,Germany,1993-12-26,Partial College,Skilled Manual,F,S,0,1,0,0,58201,0,51.29,23.0,1993,12,26
58,Palo Alto,California,United States,1985-04-08,Bachelors,Clerical,F,M,1,2,0,1,82359,1,49.64,31.0,1985,4,8
59,Lakewood,California,United States,1965-04-21,Partial High School,Skilled Manual,F,M,1,2,1,2,55654,1,50.98,51.0,1965,4,21
60,National City,California,United States,1980-04-24,High School,Manual,M,M,1,1,1,2,33167,0,58.85,36.0,1980,4,24
61,St. Leonards,New South Wales,Australia,1966-02-12,Partial College,Management,F,S,1,3,0,1,107883,1,52.81,51.0,1966,2,12
62,Beaverton,Oregon,United States,1957-07-04,High School,Clerical,F,M,1,1,2,2,80056,1,53.16,59.0,1957,7,4
63,Bury,England,United Kingdom,1985-01-28,Partial High School,Skilled Manual,M,S,0,2,0,0,54577,1,49.8,32.0,1985,1,28
64,Lebanon,Oregon,United States,1986-09-26,Bachelors,Manual,M,M,0,0,1,1,36070,1,59.05,30.0,1986,9,26
65,Hobart,Tasmania,Australia,1984-05-11,Bachelors,Skilled Manual,M,M,1,2,1,2,54049,1,54.19,32.0,1984,5,11
66,Wollongong,New South Wales,Australia,1999-06-04,Partial College,Management,M,S,0,1,0,0,112726,0,55.8,17.0,1999,6,4
67,Runcorn,England,United Kingdom,1971-02-19,Partial College,Manual,M,M,1,1,0,2,29749,0,48.95,46.0,1971,2,19
68,Coronado,California,United States,1978-04-05,Bachelors,Skilled Manual,M,M,1,2,2,2,56820,1,55.26,38.0,1978,4,5
69,Redwood City,California,United States,1970-06-24,Partial College,Management,F,S,1,3,0,0,102647,1,51.75,46.0,1970,6,24
70,Solingen,Nordrhein-Westfalen,Germany,1996-05-20,Partial College,Clerical,F,S,0,2,0,0,82258,1,51.48,20.0,1996,5,20
71,Sedro Woolley,Washington,United States,1977-01-22,High School,Skilled Manual,M,M,1,1,2,2,54200,1,55.34,40.0,1977,1,22
72,Oakland,California,United States,1996-01-13,Partial College,Skilled Manual,F,S,0,2,0,0,60908,1,51.97,21.0,1996,1,13
73,Hawthorne,Queensland,Australia,1987-06-02,Bachelors,Management,M,S,1,2,0,0,105007,1,54.5,29.0,1987,6,2
74,Sedro Woolley,Washington,United States,1976-10-10,High School,Manual,F,M,1,0,1,1,32319,1,48.12,40.0,1976,10,10
75,Gold Coast,Queensland,Australia,1982-02-05,Partial College,Skilled Manual,M,S,0,1,0,0,52311,0,57.27,35.0,1982,2,5
76,Port Hammond,British Columbia,Canada,1980-10-07,Partial College,Clerical,F,S,1,2,0,0,82851,0,54.25,36.0,1980,10,7
77,Olympia,Washington,United States,1971-08-02,High School,Manual,M,M,1,1,2,2,29111,0,53.22,45.0,1971,8,2
78,Villeneuve-d'Ascq,Nord,France,1988-04-27,Graduate Degree,Clerical,M,M,1,1,1,1,81985,1,52.19,28.0,1988,4,27
79,Wollongong,New South Wales,Australia,1969-01-22,Partial High School,Manual,F,S,1,0,0,0,33954,0,46.19,48.0,1969,1,22
80,Kirkland,Washington,United States,1995-11-02,Partial College,Manual,F,S,0,0,0,0,29016,0,45.76,21.0,1995,11,2
81,West Covina,California,United States,1967-02-26,High School,Manual,F,M,1,0,1,2,33152,1,50.02,50.0,1967,2,26
82,Chula Vista,California,United States,1957-10-25,Graduate Degree,Clerical,M,M,1,1,2,2,80331,1,53.77,59.0,1957,10,25
83,Braunschweig,Nordrhein-Westfalen,Germany,1966-04-26,Bachelors,Clerical,F,S,1,1,1,1,79235,0,51.62,50.0,1966,4,26
84,Kassel,Hessen,Germany,1989-09-20,Graduate Degree,Manual,F,S,0,1,0,0,35390,0,50.42,27.0,1989,9,20
85,Lincoln Acres,California,United States,1994-05-18,Graduate Degree,Professional,M,S,0,3,0,0,136457,0,52.17,22.0,1994,5,18
86,Wollongong,New South Wales,Australia,1972-10-10,High School,Skilled Manual,F,S,1,1,0,0,53549,0,53.1,44.0,1972,10,10
87,Cloverdale,South Australia,Australia,1981-07-12,Partial College,Clerical,F,M,1,0,1,2,85674,1,50.64,35.0,1981,7,12
88,Lynnwood,Washington,United States,1967-06-22,Bachelors,Professional,M,M,1,3,0,2,129242,1,52.48,49.0,1967,6,22
89,Seattle,Washington,United States,1976-01-07,Partial High School,Skilled Manual,F,M,1,1,2,2,61829,1,52.85,41.0,1976,1,7
90,Torrance,California,United States,1984-11-11,Bachelors,Management,M,S,1,3,0,0,111980,1,59.52,32.0,1984,11,11
91,Bottrop,Nordrhein-Westfalen,Germany,1987-09-23,Bachelors,Skilled Manual,F,M,1,0,1,1,54675,1,52.61,29.0,1987,9,23
92,Tremblay-en-France,Seine Saint Denis,France,1977-03-12,Partial College,Management,F,S,1,3,0,0,106648,1,53.81,40.0,1977,3,12
93,Woolston,England,United Kingdom,1993-03-11,Partial High School,Skilled Manual,M,S,0,1,0,0,58037,0,52.65,24.0,1993,3,11
94,München,Nordrhein-Westfalen,Germany,1992-11-22,Partial College,Management,F,M,1,2,0,1,106062,1,51.69,24.0,1992,11,22
95,Colombes,Hauts de Seine,France,1985-09-22,High School,Manual,M,S,0,1,0,0,28008,0,56.39,31.0,1985,9,22
96,Ballard,Washington,United States,1960-02-05,Graduate Degree,Clerical,M,M,1,2,0,3,86828,0,50.62,57.0,1960,2,5
97,Lavender Bay,New South Wales,Australia,1981-10-03,Partial College,Skilled Manual,M,S,0,2,0,0,61109,1,57.61,35.0,1981,10,3
98,Salem,Oregon,United States,1958-12-05,Graduate Degree,Manual,F,M,1,1,1,2,35142,0,47.02,58.0,1958,12,5
99,Bracknell,England,United Kingdom,1997-04-21,High School,Skilled Manual,F,M,0,2,0,0,59673,0,48.54,19.0,1997,4,21
100,Coronado,California,United States,1963-03-24,Bachelors,Professional,M,M,1,3,1,2,133272,1,56.63,53.0,1963,3,24
101,Pantin,Seine Saint Denis,France,1963-02-26,Partial College,Clerical,M,S,1,3,0,1,81957,0,50.09,54.0,1963,2,26
102,Hamburg,Hamburg,Germany,1994-05-23,Partial College,Management,F,S,0,1,0,0,103314,0,52.78,22.0,1994,5,23
103,Bendigo,Victoria,Australia,1987-03-16,Graduate Degree,Management,F,S,1,2,0,0,103546,1,51.61,29.0,1987,3,16
104,Tremblay-en-France,Seine Saint Denis,France,1988-03-23,Bachelors,Skilled Manual,M,M,0,0,1,1,58317,1,48.05,28.0,1988,3,23
105,Concord,California,United States,1960-06-26,Bachelors,Skilled Manual,M,M,1,2,0,2,55825,0,48.53,56.0,1960,6,26
106,Sydney,New South Wales,Australia,1986-01-11,Graduate Degree,Manual,F,S,0,1,0,0,36367,0,48.33,31.0,1986,1,11
107,London,England,United Kingdom,1988-11-23,Bachelors,Management,F,S,0,2,0,0,107852,1,54.89,28.0,1988,11,23
108,Rhodes,New South Wales,Australia,1996-05-11,Bachelors,Management,M,M,1,0,0,0,105888,0,51.31,20.0,1996,5,11
109,Royal Oak,British Columbia,Canada,1976-03-14,Partial High School,Manual,M,S,0,1,0,0,31956,0,50.51,41.0,1976,3,14
110,Brisbane,Queensland,Australia,1997-04-27,High School,Clerical,F,M,0,0,0,0,83026,1,50.25,19.0,1997,4,27
111,Townsville,Queensland,Australia,1986-09-27,Graduate Degree,Management,M,S,1,2,0,0,110808,1,56.85,30.0,1986,9,27
112,Colomiers,Garonne (Haute),France,1968-05-11,Partial High School,Skilled Manual,F,M,1,1,2,2,51566,1,50.94,48.0,1968,5,11
113,Lemon Grove,California,United States,1983-11-21,Bachelors,Professional,F,M,1,3,1,2,132962,1,54.67,33.0,1983,11,21
114,Port Orchard,Washington,United States,1973-02-27,Graduate Degree,Professional,M,S,1,2,0,0,135064,1,55.61,44.0,1973,2,27
115,Oak Bay,British Columbia,Canada,1973-03-13,Graduate Degree,Professional,F,S,1,2,0,0,135997,1,54.2,44.0,1973,3,13
116,Palo Alto,California,United States,1991-04-14,High School,Skilled Manual,F,S,0,1,0,0,57770,0,49.68,25.0,1991,4,14
117,Coronado,California,United States,1993-01-17,Bachelors,Management,M,S,0,1,0,0,113290,0,54.55,24.0,1993,1,17
118,Stuttgart,Saarland,Germany,1962-03-04,Partial College,Clerical,F,M,1,1,1,2,81214,0,54.11,55.0,1962,3,4
119,Saint Germain en Laye,Yveline,France,1980-06-08,Bachelors,Clerical,F,M,1,2,0,2,80624,0,49.58,36.0,1980,6,8
120,München,Hamburg,Germany,1966-02-05,Bachelors,Management,F,S,1,2,0,1,106908,0,53.03,51.0,1966,2,5
121,Brisbane,Queensland,Australia,1985-02-04,Bachelors,Skilled Manual,M,S,0,1,0,0,51796,0,56.24,32.0,1985,2,4
122,Los Angeles,California,United States,1990-10-24,Graduate Degree,Clerical,M,M,1,2,1,2,80764,1,52.27,26.0,1990,10,24
123,Gateshead,England,United Kingdom,1984-05-21,Partial High School,Manual,F,M,0,0,0,1,35297,0,47.28,32.0,1984,5,21
124,Redmond,Washington,United States,1997-06-10,Partial College,Clerical,F,S,0,1,0,0,78604,0,51.54,19.0,1997,6,10
125,Colma,California,United States,1983-07-02,Bachelors,Management,M,M,1,3,0,0,102869,0,57.71,33.0,1983,7,2
126,Oak Bay,British Columbia,Canada,1975-10-04,High School,Skilled Manual,M,M,1,1,1,2,62293,1,54.24,41.0,1975,10,4
127,York,England,United Kingdom,1982-03-18,Partial College,Manual,M,S,0,1,0,0,34607,1,48.11,34.0,1982,3,18
128,Bremerton,Washington,United States,1976-07-09,Partial College,Skilled Manual,F,M,1,2,1,2,53042,1,50.06,40.0,1976,7,9
129,Melton,Victoria,Australia,1991-02-03,Bachelors,Management,F,S,0,1,0,0,106195,0,55.41,26.0,1991,2,3
130,Downey,California,United States,1972-05-26,Partial College,Management,F,M,1,2,0,2,106360,1,51.7,44.0,1972,5,26
131,Lincoln Acres,California,United States,1978-05-08,Partial College,Management,M,M,1,2,1,1,110288,1,54.03,38.0,1978,5,8
132,Renton,Washington,United States,1992-07-26,Graduate Degree,Management,M,S,0,1,0,0,112590,1,52.71,24.0,1992,7,26
133,Downey,California,United States,1969-07-23,Partial College,Manual,M,M,1,0,1,2,30844,1,52.73,47.0,1969,7,23
134,Lakewood,California,United States,1960-07-27,Graduate Degree,Management,M,M,1,2,0,3,109611,0,51.0,56.0,1960,7,27
135,Sooke,British Columbia,Canada,1987-01-06,Partial College,Management,F,S,1,2,0,0,111685,1,52.96,30.0,1987,1,6
136,National City,California,United States,1959-03-21,Graduate Degree,Manual,F,S,1,0,1,1,30259,1,49.14,58.0,1959,3,21
137,Imperial Beach,California,United States,1996-01-23,Partial College,Clerical,M,S,0,2,0,0,82339,0,52.62,21.0,1996,1,23
138,Burien,Washington,United States,1981-10-10,High School,Clerical,M,S,1,1,0,0,87633,1,61.12,35.0,1981,10,10
139,Burlingame,California,United States,1989-04-28,Graduate Degree,Clerical,M,S,0,1,0,0,80782,1,51.66,27.0,1989,4,28
140,Lebanon,Oregon,United States,1976-07-03,Partial College,Skilled Manual,F,M,1,1,0,2,57125,1,48.74,40.0,1976,7,3
141,Villeneuve-d'Ascq,Nord,France,1980-09-16,Bachelors,Skilled Manual,M,S,0,2,0,0,56092,1,50.33,36.0,1980,9,16
142,Ballard,Washington,United States,1979-04-26,Graduate Degree,Professional,F,M,1,2,0,0,131943,1,52.71,37.0,1979,4,26
143,Coffs Harbour,New South Wales,Australia,1970-02-04,Partial High School,Skilled Manual,M,M,1,2,0,2,52627,0,50.78,47.0,1970,2,4
144,Beverly Hills,California,United States,1980-05-22,Partial College,Manual,M,M,1,1,0,2,26331,0,53.52,36.0,1980,5,22
145,Cranbourne,Victoria,Australia,1994-11-02,Bachelors,Manual,M,S,0,1,0,0,27908,0,48.73,22.0,1994,11,2
146,Berlin,Hamburg,Germany,1985-09-03,High School,Skilled Manual,M,S,0,1,0,0,56751,0,60.78,31.0,1985,9,3
147,Solingen,Nordrhein-Westfalen,Germany,1973-09-11,Bachelors,Manual,M,M,1,1,1,2,32619,1,57.06,43.0,1973,9,11
148,Burlingame,California,United States,1985-04-12,Bachelors,Management,F,M,1,3,0,0,105983,0,51.26,31.0,1985,4,12
149,Burlingame,California,United States,1991-01-20,Graduate Degree,Professional,F,M,1,1,1,2,128877,1,52.95,26.0,1991,1,20
150,Findon,South Australia,Australia,1964-04-02,High School,Skilled Manual,F,S,1,2,1,1,55000,1,49.93,52.0,1964,4,2
151,Newton,British Columbia,Canada,1995-09-27,High School,Skilled Manual,F,S,0,1,0,0,50910,0,48.8,21.0,1995,9,27
152,Paris,Seine (Paris),France,1985-05-14,Partial College,Skilled Manual,M,M,1,2,1,1,57493,1,52.42,31.0,1985,5,14
153,Essen,Hamburg,Germany,1962-04-14,Partial College,Clerical,F,S,1,0,1,1,82095,1,53.16,54.0,1962,4,14
154,Silverwater,New South Wales,Australia,1995-05-22,Bachelors,Professional,M,S,0,2,0,0,136001,0,56.7,21.0,1995,5,22
155,Lavender Bay,New South Wales,Australia,1987-04-17,Bachelors,Management,F,M,1,3,0,0,104443,1,51.04,29.0,1987,4,17
156,Seattle,Washington,United States,1984-07-27,Partial College,Skilled Manual,F,S,0,1,0,0,59013,0,49.99,32.0,1984,7,27
157,Seattle,Washington,United States,1979-07-04,Partial College,Skilled Manual,M,S,0,1,0,0,54240,0,56.33,37.0,1979,7,4
158,Edmonds,Washington,United States,1967-08-17,Bachelors,Management,F,M,1,3,0,2,103150,1,50.8,49.0,1967,8,17
159,Walla Walla,Washington,United States,1980-05-14,Partial College,Management,F,M,1,3,1,2,108823,1,53.12,36.0,1980,5,14
160,Pantin,Seine Saint Denis,France,1996-09-07,High School,Clerical,F,S,0,2,0,0,77300,0,53.95,20.0,1996,9,7
161,Spring Valley,California,United States,1977-08-23,Partial College,Clerical,F,M,1,2,0,1,82308,1,49.8,39.0,1977,8,23
162,Lincoln Acres,California,United States,1978-01-17,Graduate Degree,Professional,F,S,1,1,0,0,129719,0,56.22,39.0,1978,1,17
163,Leipzig,Nordrhein-Westfalen,Germany,1996-01-26,Partial College,Manual,M,S,0,0,0,0,36588,0,46.38,21.0,1996,1,26
164,Berkeley,California,United States,1977-05-18,Partial College,Clerical,F,S,1,3,0,0,81053,0,50.38,39.0,1977,5,18
165,Paris,Seine (Paris),France,1971-09-09,High School,Manual,F,M,1,0,2,2,35160,1,48.62,45.0,1971,9,9
166,München,Nordrhein-Westfalen,Germany,1976-11-05,High School,Skilled Manual,M,S,1,1,0,0,57655,0,57.32,40.0,1976,11,5
167,Portland,Oregon,United States,1974-05-11,Partial High School,Skilled Manual,M,M,1,2,1,1,61513,1,57.36,42.0,1974,5,11
168,Kirkland,Washington,United States,2000-11-03,High School,Skilled Manual,M,M,0,0,0,0,57933,1,48.84,16.0,2000,11,3
169,Vancouver,British Columbia,Canada,1993-07-06,Bachelors,Management,M,S,0,2,0,0,104429,1,54.84,23.0,1993,7,6
170,Burbank,California,United States,1972-02-23,High School,Manual,M,M,1,0,0,2,32494,1,52.5,45.0,1972,2,23
171,Spokane,Washington,United States,1998-07-20,High School,Skilled Manual,F,M,0,2,0,0,51293,0,48.28,18.0,1998,7,20
172,Darmstadt,Hessen,Germany,1965-05-12,Partial College,Clerical,M,M,1,3,1,2,78805,1,49.99,51.0,1965,5,12
173,Erlangen,Bayern,Germany,2000-01-21,Partial High School,Manual,M,S,0,1,0,0,33244,0,48.21,17.0,2000,1,21
174,Bellingham,Washington,United States,1982-06-06,Partial College,Manual,M,M,1,1,1,1,30115,1,59.27,34.0,1982,6,6
175,Goulburn,New South Wales,Australia,1966-10-21,Partial College,Skilled Manual,M,S,1,1,1,1,55404,1,50.3,50.0,1966,10,21
176,Sunbury,Victoria,Australia,1973-03-07,Partial College,Manual,F,S,0,0,0,0,34165,0,47.46,44.0,1973,3,7
177,Puyallup,Washington,United States,1976-05-21,High School,Skilled Manual,M,M,1,2,1,2,57132,1,53.79,40.0,1976,5,21
178,Milton Keynes,England,United Kingdom,1989-08-16,Graduate Degree,Professional,M,S,1,2,0,0,132560,0,52.2,27.0,1989,8,16
179,Burien,Washington,United States,1974-11-05,High School,Skilled Manual,M,M,1,1,1,2,53062,1,54.72,42.0,1974,11,5
180,Westminster,British Columbia,Canada,1962-09-25,Bachelors,Clerical,F,M,1,0,1,2,79950,1,52.93,54.0,1962,9,25
181,Woodland Hills,California,United States,1983-02-13,Bachelors,Clerical,M,M,1,2,0,1,83167,1,57.56,34.0,1983,2,13
182,Neunkirchen,Saarland,Germany,1982-04-13,Partial College,Clerical,M,S,1,0,0,0,77729,1,51.78,34.0,1982,4,13
183,Cergy,Val d'Oise,France,1973-10-07,Partial College,Skilled Manual,F,M,1,1,1,1,54058,1,48.36,43.0,1973,10,7
184,Colma,California,United States,1979-04-21,Graduate Degree,Clerical,F,M,1,1,0,2,87071,1,50.5,37.0,1979,4,21
185,Renton,Washington,United States,1995-02-20,High School,Manual,F,S,0,0,0,0,26818,0,47.15,22.0,1995,2,20
186,Bremerton,Washington,United States,1973-11-10,Bachelors,Skilled Manual,M,M,1,0,0,2,52630,1,49.83,43.0,1973,11,10
187,Paris,Seine (Paris),France,1976-08-03,Partial College,Clerical,M,M,1,2,0,2,83410,1,54.85,40.0,1976,8,3
188,Darlinghurst,New South Wales,Australia,1980-08-10,Partial College,Clerical,F,M,1,2,1,2,83299,1,51.33,36.0,1980,8,10
189,Torrance,California,United States,1963-09-01,Bachelors,Skilled Manual,F,S,1,1,1,1,54201,0,50.72,53.0,1963,9,1
190,Oak Bay,British Columbia,Canada,1986-07-14,Graduate Degree,Professional,F,S,1,2,0,0,133136,1,53.04,30.0,1986,7,14
191,Metchosin,British Columbia,Canada,1999-02-16,Partial High School,Skilled Manual,M,S,0,2,0,0,60371,1,51.53,18.0,1999,2,16
192,Westminster,British Columbia,Canada,1977-02-19,Partial College,Skilled Manual,F,M,1,1,1,2,55220,1,48.65,40.0,1977,2,19
193,Salem,Oregon,United States,1980-02-08,Partial College,Clerical,M,M,1,1,0,2,85098,0,53.81,37.0,1980,2,8
194,Puyallup,Washington,United States,1988-08-01,Bachelors,Professional,M,S,1,2,0,0,129013,1,54.8,28.0,1988,8,1
195,Portland,Oregon,United States,1988-03-02,Bachelors,Management,F,S,0,2,0,0,106013,1,55.82,29.0,1988,3,2
196,Downey,California,United States,1996-10-07,Partial College,Clerical,F,S,0,2,0,0,77922,1,51.39,20.0,1996,10,7
197,Colomiers,Garonne (Haute),France,1988-10-09,Graduate Degree,Management,F,M,1,3,0,0,104734,0,51.2,28.0,1988,10,9
198,Berkeley,California,United States,1993-06-24,Partial College,Clerical,F,S,0,2,0,0,83202,0,53.98,23.0,1993,6,24
199,Sydney,New South Wales,Australia,1964-02-26,High School,Skilled Manual,M,M,1,1,1,2,61391,1,50.08,53.0,1964,2,26
200,N. Vancouver,British Columbia,Canada,1971-09-09,High School,Clerical,F,S,1,0,0,0,82687,0,52.24,45.0,1971,9,9
201,Erlangen,Bayern,Germany,1995-06-20,Partial College,Clerical,M,S,0,1,0,0,83361,0,50.99,21.0,1995,6,20
202,Malabar,New South Wales,Australia,1994-07-26,Bachelors,Skilled Manual,F,M,0,2,0,0,57161,1,47.93,22.0,1994,7,26
203,Warrington,England,United Kingdom,1981-06-19,Graduate Degree,Management,F,M,1,3,1,2,109320,1,54.16,35.0,1981,6,19
204,Newport Beach,California,United States,1980-03-01,Partial College,Manual,M,M,1,1,1,2,27866,0,58.64,37.0,1980,3,1
205,Oak Bay,British Columbia,Canada,1973-02-24,High School,Skilled Manual,F,S,1,1,0,0,53889,0,49.64,44.0,1973,2,24
206,Caloundra,Queensland,Australia,1967-04-17,Partial High School,Skilled Manual,M,M,1,0,0,2,53916,1,48.5,49.0,1967,4,17
207,Caloundra,Queensland,Australia,1999-07-05,High School,Skilled Manual,F,M,0,1,0,0,56880,0,48.52,17.0,1999,7,5
208,Townsville,Queensland,Australia,1977-01-05,High School,Clerical,F,M,1,3,1,2,85533,1,53.51,40.0,1977,1,5
