,CountryRegionName,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberChildrenAtHome,TotalChildren,YearlyIncome,AvgMonthSpend,age
129,Australia,Management,F,S,0,0,0,106195,55.41,26.0
130,United States,Management,F,M,1,0,2,106360,51.7,44.0
131,United States,Management,M,M,1,1,1,110288,54.03,38.0
132,United States,Management,M,S,0,0,0,112590,52.71,24.0
133,United States,Manual,M,M,1,1,2,30844,52.73,47.0
134,United States,Management,M,M,1,0,3,109611,51.0,56.0
135,Canada,Management,F,S,1,0,0,111685,52.96,30.0
136,United States,Manual,F,S,1,1,1,30259,49.14,58.0
137,United States,Clerical,M,S,0,0,0,82339,52.62,21.0
138,United States,Clerical,M,S,1,0,0,87633,61.12,35.0
139,United States,Clerical,M,S,0,0,0,80782,51.66,27.0
140,United States,Skilled Manual,F,M,1,0,2,57125,48.74,40.0
141,France,Skilled Manual,M,S,0,0,0,56092,50.33,36.0
142,United States,Professional,F,M,1,0,0,131943,52.71,37.0
143,Australia,Skilled Manual,M,M,1,0,2,52627,50.78,47.0
144,United States,Manual,M,M,1,0,2,26331,53.52,36.0
145,Australia,Manual,M,S,0,0,0,27908,48.73,22.0
146,Germany,Skilled Manual,M,S,0,0,0,56751,60.78,31.0
147,Germany,Manual,M,M,1,1,2,32619,57.06,43.0
148,United States,Management,F,M,1,0,0,105983,51.26,31.0
149,United States,Professional,F,M,1,1,2,128877,52.95,26.0
150,Australia,Skilled Manual,F,S,1,1,1,55000,49.93,52.0
151,Canada,Skilled Manual,F,S,0,0,0,50910,48.8,21.0
152,France,Skilled Manual,M,M,1,1,1,57493,52.42,31.0
153,Germany,Clerical,F,S,1,1,1,82095,53.16,54.0
154,Australia,Professional,M,S,0,0,0,136001,56.7,21.0
155,Australia,Management,F,M,1,0,0,104443,51.04,29.0
156,United States,Skilled Manual,F,S,0,0,0,59013,49.99,32.0
157,United States,Skilled Manual,M,S,0,0,0,54240,56.33,37.0
158,United States,Management,F,M,1,0,2,103150,50.8,49.0
159,United States,Management,F,M,1,1,2,108823,53.12,36.0
160,France,Clerical,F,S,0,0,0,77300,53.95,20.0
161,United States,Clerical,F,M,1,0,1,82308,49.8,39.0
162,United States,Professional,F,S,1,0,0,129719,56.22,39.0
163,Germany,Manual,M,S,0,0,0,36588,46.38,21.0
164,United States,Clerical,F,S,1,0,0,81053,50.38,39.0
165,France,Manual,F,M,1,2,2,35160,48.62,45.0
166,Germany,Skilled Manual,M,S,1,0,0,57655,57.32,40.0
167,United States,Skilled Manual,M,M,1,1,1,61513,57.36,42.0
168,United States,Skilled Manual,M,M,0,0,0,57933,48.84,16.0
169,Canada,Management,M,S,0,0,0,104429,54.84,23.0
170,United States,Manual,M,M,1,0,2,32494,52.5,45.0
171,United States,Skilled Manual,F,M,0,0,0,51293,48.28,18.0
172,Germany,Clerical,M,M,1,1,2,78805,49.99,51.0
173,Germany,Manual,M,S,0,0,0,33244,48.21,17.0
174,United States,Manual,M,M,1,1,1,30115,59.27,34.0
175,Australia,Skilled Manual,M,S,1,1,1,55404,50.3,50.0
176,Australia,Manual,F,S,0,0,0,34165,47.46,44.0
177,United States,Skilled Manual,M,M,1,1,2,57132,53.79,40.0
178,United Kingdom,Professional,M,S,1,0,0,132560,52.2,27.0
179,United States,Skilled Manual,M,M,1,1,2,53062,54.72,42.0
180,Canada,Clerical,F,M,1,1,2,79950,52.93,54.0
181,United States,Clerical,M,M,1,0,1,83167,57.56,34.0
182,Germany,Clerical,M,S,1,0,0,77729,51.78,34.0
183,France,Skilled Manual,F,M,1,1,1,54058,48.36,43.0
184,United States,Clerical,F,M,1,0,2,87071,50.5,37.0
185,United States,Manual,F,S,0,0,0,26818,47.15,22.0
186,United States,Skilled Manual,M,M,1,0,2,52630,49.83,43.0
187,France,Clerical,M,M,1,0,2,83410,54.85,40.0
188,Australia,Clerical,F,M,1,1,2,83299,51.33,36.0
189,United States,Skilled Manual,F,S,1,1,1,54201,50.72,53.0
190,Canada,Professional,F,S,1,0,0,133136,53.04,30.0
191,Canada,Skilled Manual,M,S,0,0,0,60371,51.53,18.0
192,Canada,Skilled Manual,F,M,1,1,2,55220,48.65,40.0
193,United States,Clerical,M,M,1,0,2,85098,53.81,37.0
194,United States,Professional,M,S,1,0,0,129013,54.8,28.0
195,United States,Management,F,S,0,0,0,106013,55.82,29.0
196,United States,Clerical,F,S,0,0,0,77922,51.39,20.0
197,France,Management,F,M,1,0,0,104734,51.2,28.0
198,United States,Clerical,F,S,0,0,0,83202,53.98,23.0
199,Australia,Skilled Manual,M,M,1,1,2,61391,50.08,53.0
200,Canada,Clerical,F,S,1,0,0,82687,52.24,45.0
201,Germany,Clerical,M,S,0,0,0,83361,50.99,21.0
202,Australia,Skilled Manual,F,M,0,0,0,57161,47.93,22.0
203,United Kingdom,Management,F,M,1,1,2,109320,54.16,35.0
204,United States,Manual,M,M,1,1,2,27866,58.64,37.0
205,Canada,Skilled Manual,F,S,1,0,0,53889,49.64,44.0
206,Australia,Skilled Manual,M,M,1,0,2,53916,48.5,49.0
207,Australia,Skilled Manual,F,M,0,0,0,56880,48.52,17.0
208,Australia,Clerical,F,M,1,1,2,85533,53.51,40.0
209,United States,Management,F,S,1,0,0,109072,51.35,33.0
210,France,Management,M,M,1,0,2,110148,52.17,35.0
211,United States,Management,F,M,1,1,2,103959,55.47,31.0
212,United States,Skilled Manual,F,S,0,0,0,54230,49.34,17.0
213,United States,Professional,F,S,1,0,0,133903,54.91,38.0
214,United States,Clerical,M,S,1,0,0,79311,57.12,34.0
215,United States,Clerical,F,M,1,0,2,84084,49.84,36.0
216,United States,Skilled Manual,M,S,0,0,0,54821,51.55,27.0
217,United States,Clerical,M,M,1,1,2,77748,56.89,42.0
218,Australia,Manual,M,M,1,2,2,27122,46.82,50.0
219,Germany,Skilled Manual,M,S,0,0,0,62520,50.43,33.0
220,United States,Skilled Manual,F,S,0,0,0,55096,48.2,18.0
221,Canada,Clerical,M,M,1,1,2,83229,54.53,51.0
222,Australia,Skilled Manual,F,M,1,0,3,60347,48.28,57.0
223,United States,Manual,F,M,0,1,1,27006,47.03,31.0
224,France,Skilled Manual,M,S,1,0,0,56071,53.02,48.0
225,United States,Skilled Manual,M,S,1,0,0,51705,48.04,46.0
226,United States,Clerical,M,M,1,1,2,87993,61.69,30.0
227,United States,Clerical,F,M,1,0,2,81913,50.37,42.0
228,Australia,Skilled Manual,F,S,0,0,0,55838,51.84,33.0
229,Germany,Manual,F,S,0,0,0,32924,48.47,38.0
230,United States,Professional,F,M,1,2,2,136633,52.44,37.0
231,United States,Manual,M,M,1,0,3,28954,45.77,62.0
232,United States,Clerical,M,M,1,0,1,78271,54.57,36.0
233,United States,Skilled Manual,M,S,0,0,0,54082,52.55,22.0
234,Australia,Management,F,S,1,0,0,102019,51.15,35.0
235,Australia,Skilled Manual,M,M,1,0,2,58336,55.31,38.0
236,Australia,Management,M,M,1,0,0,106235,50.93,29.0
237,United States,Professional,M,M,1,0,2,132506,55.78,30.0
238,United States,Skilled Manual,F,M,1,2,2,61547,52.04,39.0
239,United States,Professional,M,S,1,1,1,134871,54.78,58.0
240,United Kingdom,Skilled Manual,F,S,0,0,0,51970,48.52,27.0
241,United States,Professional,F,S,1,0,0,129017,52.94,26.0
242,United Kingdom,Skilled Manual,F,S,1,0,0,51980,49.82,47.0
243,Australia,Management,F,S,0,0,0,107530,53.85,28.0
244,United States,Clerical,M,M,1,0,1,80444,49.84,26.0
245,United States,Management,F,S,1,0,0,105715,52.54,34.0
246,United States,Clerical,M,S,1,0,1,77151,53.76,61.0
247,United States,Clerical,F,M,1,0,2,81669,50.68,39.0
248,United States,Clerical,F,S,0,0,0,81432,53.33,30.0
249,Australia,Manual,M,S,0,0,0,34298,49.64,20.0
250,France,Management,F,M,1,0,2,107934,50.55,38.0
251,Canada,Management,F,S,0,0,0,109457,55.18,23.0
252,United States,Skilled Manual,M,M,0,1,1,54266,48.71,27.0
253,France,Manual,F,S,0,0,0,26150,45.07,28.0
254,United States,Management,M,M,1,1,2,112302,65.29,30.0
255,United States,Clerical,F,M,1,1,1,81542,52.28,37.0
256,Canada,Skilled Manual,M,M,1,1,2,51854,48.96,45.0
257,United States,Skilled Manual,F,S,0,0,0,54153,49.83,31.0
258,Australia,Management,M,S,1,0,0,105736,60.95,33.0
259,United Kingdom,Skilled Manual,F,S,0,0,0,54626,49.02,18.0
260,Australia,Clerical,M,M,0,0,0,83144,49.95,18.0
261,Canada,Professional,M,M,1,2,2,135029,52.19,56.0
262,United States,Skilled Manual,F,M,1,0,2,52476,48.37,50.0
263,Germany,Clerical,F,S,1,0,0,84807,51.68,43.0
264,United States,Manual,F,S,0,0,0,36634,47.45,21.0
265,United States,Clerical,F,S,0,0,0,84866,52.34,27.0
266,Canada,Clerical,M,M,1,1,2,79867,51.3,26.0
267,United States,Skilled Manual,M,M,1,0,2,51783,48.34,55.0
268,United Kingdom,Skilled Manual,F,M,1,1,2,55768,49.91,53.0
269,Canada,Clerical,F,M,1,1,2,80690,53.74,38.0
270,United States,Manual,F,M,0,0,0,30247,46.58,23.0
271,United States,Clerical,M,M,1,0,2,83705,54.01,39.0
272,Australia,Management,F,S,0,0,0,106597,50.76,26.0
273,United States,Skilled Manual,F,M,0,1,2,60958,48.95,25.0
274,United States,Management,M,S,1,0,0,111130,63.85,31.0
275,United States,Skilled Manual,M,M,1,0,1,53604,48.03,31.0
276,United States,Skilled Manual,F,M,0,0,0,57269,48.55,22.0
277,United States,Skilled Manual,M,S,0,0,0,61287,51.94,32.0
278,Canada,Clerical,F,S,0,0,0,77098,49.88,20.0
279,United States,Skilled Manual,M,M,0,0,0,52607,47.88,23.0
280,United States,Professional,M,M,1,0,2,130743,56.86,43.0
281,United States,Skilled Manual,M,M,1,1,2,59358,50.77,36.0
282,United States,Skilled Manual,M,M,1,1,1,54025,58.93,43.0
283,Canada,Clerical,F,M,1,1,2,79556,52.52,47.0
284,Australia,Professional,F,M,1,0,2,128521,52.14,57.0
285,Germany,Skilled Manual,M,M,1,1,2,51642,60.33,44.0
286,United Kingdom,Skilled Manual,F,S,1,0,0,52484,48.06,44.0
287,Germany,Manual,M,S,0,0,0,30051,54.72,34.0
288,Canada,Manual,F,M,1,1,1,25495,46.72,39.0
289,Australia,Professional,M,M,1,1,2,136250,52.89,54.0
290,Canada,Skilled Manual,F,S,0,0,0,51351,50.49,36.0
291,United States,Professional,M,S,1,0,0,134516,54.09,33.0
292,Australia,Skilled Manual,M,M,0,0,0,58340,47.92,23.0
293,United States,Clerical,M,M,1,1,2,78194,51.27,47.0
294,United States,Manual,M,M,0,1,2,27849,44.95,26.0
295,United Kingdom,Manual,M,S,0,0,0,31315,45.82,24.0
296,France,Professional,F,M,1,2,2,133103,55.68,28.0
297,France,Clerical,M,S,0,0,0,85953,53.66,27.0
298,Germany,Clerical,F,S,0,0,0,78356,53.89,31.0
299,United States,Professional,M,M,1,0,0,132022,59.88,30.0
300,United Kingdom,Management,F,M,1,0,0,103281,52.11,32.0
301,United Kingdom,Manual,M,S,0,0,0,36326,47.59,24.0
302,United States,Clerical,F,S,0,0,0,80632,51.45,31.0
303,Australia,Skilled Manual,F,M,1,0,1,54443,48.16,33.0
304,France,Skilled Manual,M,M,1,1,2,53720,51.27,31.0
305,United States,Professional,M,M,1,2,2,138094,57.58,43.0
306,United States,Clerical,F,S,0,0,0,81168,53.38,32.0
307,United States,Management,M,M,1,0,2,110907,51.67,53.0
308,Canada,Skilled Manual,M,M,1,0,2,55051,48.71,49.0
309,France,Skilled Manual,M,M,1,1,2,60460,50.25,46.0
310,United States,Management,M,M,1,0,2,113065,56.2,41.0
311,Germany,Clerical,F,S,0,0,0,78659,51.01,26.0
312,Germany,Skilled Manual,F,M,1,1,2,60825,49.8,31.0
313,France,Skilled Manual,M,S,0,0,0,51307,54.85,38.0
314,United States,Professional,F,S,1,1,1,135850,53.04,55.0
315,Germany,Skilled Manual,F,S,0,0,0,56139,50.17,33.0
316,United Kingdom,Management,M,M,1,0,2,106292,54.08,46.0
317,United States,Clerical,M,M,1,1,2,86492,53.3,26.0
318,Australia,Clerical,F,S,0,0,0,78270,49.89,28.0
319,United States,Clerical,F,M,1,1,2,76306,51.6,41.0
320,France,Manual,M,S,0,0,0,26611,49.1,22.0
321,United States,Skilled Manual,F,S,0,0,0,53598,50.0,17.0
322,Australia,Skilled Manual,F,M,1,1,2,55540,48.25,46.0
323,United States,Professional,M,M,1,0,0,138508,52.1,26.0
324,United States,Management,F,M,1,0,3,103553,50.42,57.0
325,Germany,Management,M,S,1,0,0,106124,61.62,36.0
326,Germany,Clerical,M,M,0,0,0,87137,50.42,19.0
327,Germany,Skilled Manual,M,M,1,0,1,53321,56.64,30.0
328,United Kingdom,Management,F,S,0,0,0,106613,51.41,27.0
329,Australia,Skilled Manual,F,S,1,0,0,53096,47.62,39.0
330,United States,Skilled Manual,M,S,1,0,0,60793,52.1,40.0
331,Germany,Manual,M,S,0,0,0,30763,59.24,32.0
332,United States,Professional,F,M,1,0,2,135185,52.68,30.0
333,United States,Skilled Manual,M,S,1,0,0,57677,59.09,40.0
334,France,Clerical,M,M,1,1,2,78065,59.07,40.0
335,United States,Clerical,M,M,1,1,2,82159,55.33,33.0
336,Australia,Management,M,M,1,1,2,104925,60.88,32.0
337,Germany,Skilled Manual,F,S,0,0,0,53762,50.67,31.0
338,Australia,Clerical,F,M,0,0,0,85651,50.85,20.0
339,Germany,Clerical,F,M,1,1,1,78680,50.72,28.0
340,United Kingdom,Professional,M,M,1,0,2,138681,53.75,35.0
341,United Kingdom,Clerical,M,S,0,0,0,86677,53.75,32.0
342,United Kingdom,Clerical,F,S,1,0,0,84713,50.43,37.0
343,United States,Management,F,S,1,0,0,102387,51.8,48.0
344,Australia,Manual,M,S,0,0,0,26017,47.35,26.0
345,Germany,Clerical,M,S,0,0,0,78140,56.06,32.0
346,Germany,Skilled Manual,F,M,1,0,2,57071,49.02,42.0
347,Canada,Manual,F,M,1,0,1,36338,47.0,43.0
348,Australia,Skilled Manual,F,M,1,0,1,55936,48.44,31.0
349,United States,Skilled Manual,F,S,0,0,0,59776,49.16,31.0
350,United States,Skilled Manual,F,S,1,0,1,53200,50.59,51.0
351,Australia,Manual,M,M,1,2,2,33934,50.69,34.0
352,Germany,Skilled Manual,M,S,0,0,0,58601,49.56,27.0
353,France,Clerical,F,S,0,0,0,78945,51.41,29.0
354,France,Manual,F,S,0,0,0,32044,48.07,20.0
355,United Kingdom,Management,F,S,1,1,1,112047,53.7,83.0
356,Germany,Clerical,M,M,1,0,1,79952,49.27,24.0
357,Germany,Manual,M,M,1,0,2,35702,52.27,41.0
358,Germany,Skilled Manual,F,M,1,1,2,57286,48.22,48.0
359,United States,Skilled Manual,M,M,0,0,1,57036,49.26,27.0
360,United States,Clerical,F,M,1,1,1,82552,52.33,48.0
361,United States,Professional,M,M,1,1,2,130517,55.81,51.0
362,United Kingdom,Manual,M,S,1,0,1,32990,48.65,53.0
363,United States,Manual,F,M,0,0,0,35976,46.76,23.0
364,Australia,Clerical,F,S,0,0,0,80570,52.34,30.0
365,United States,Skilled Manual,F,M,1,0,2,58899,48.79,41.0
366,Germany,Skilled Manual,F,S,0,0,0,61956,52.08,23.0
367,United States,Manual,M,M,1,0,2,27870,46.65,40.0
368,Australia,Skilled Manual,M,S,0,0,0,51704,52.13,30.0
369,United Kingdom,Management,F,S,0,0,0,105891,54.67,19.0
370,Australia,Clerical,F,M,1,0,2,82216,49.39,35.0
371,United States,Skilled Manual,F,S,0,0,0,58372,48.93,31.0
372,Canada,Skilled Manual,F,M,1,1,2,56626,52.89,60.0
373,United States,Skilled Manual,M,M,1,0,1,53367,55.4,33.0
374,United States,Manual,M,S,0,0,0,28750,45.95,19.0
375,Canada,Skilled Manual,F,M,1,0,2,59994,49.44,53.0
376,Germany,Skilled Manual,M,M,1,1,2,54516,51.71,51.0
377,United States,Skilled Manual,M,S,0,0,0,53750,51.76,19.0
378,United States,Skilled Manual,F,S,0,0,0,57716,52.75,27.0
379,United States,Manual,M,M,0,0,0,28383,46.04,22.0
380,Germany,Manual,M,S,0,0,0,36569,51.24,23.0
381,United States,Management,M,M,1,2,2,109581,54.34,41.0
382,United States,Clerical,F,S,1,0,0,76776,50.13,48.0
383,United States,Professional,F,S,1,0,0,137727,54.32,38.0
384,United States,Skilled Manual,F,M,1,1,2,55340,51.74,40.0
385,United States,Manual,F,S,0,0,0,27779,49.83,22.0
386,United States,Skilled Manual,M,M,1,0,2,56833,51.51,47.0
387,France,Manual,F,S,0,0,0,33026,49.25,37.0
388,United States,Clerical,F,M,1,0,1,78520,50.52,25.0
389,United States,Skilled Manual,M,M,1,0,3,54573,47.49,64.0
390,United States,Professional,M,M,1,1,2,128329,61.65,37.0
391,United Kingdom,Skilled Manual,F,M,1,1,2,57689,52.41,42.0
392,United States,Manual,F,M,0,0,0,36575,46.85,19.0
393,Germany,Manual,F,S,1,0,0,32896,49.24,48.0
394,Germany,Clerical,M,M,1,0,1,81432,51.21,38.0
395,United States,Manual,M,M,1,1,2,34554,52.58,42.0
396,France,Skilled Manual,M,S,1,1,1,54375,50.17,52.0
397,United States,Management,M,M,1,2,2,111563,57.54,39.0
398,United States,Clerical,M,M,1,1,2,85889,52.65,49.0
399,United States,Skilled Manual,F,S,0,0,0,62077,50.78,35.0
400,United States,Clerical,M,M,1,1,1,78344,59.05,35.0
401,Germany,Skilled Manual,M,M,1,1,2,52349,57.08,42.0
402,Germany,Skilled Manual,F,S,0,0,0,61820,50.47,25.0
403,United States,Professional,M,M,1,1,2,128425,62.7,38.0
404,France,Clerical,F,M,1,2,2,84402,53.02,35.0
405,Australia,Management,M,S,1,0,0,108902,58.43,32.0
406,United States,Skilled Manual,M,S,0,0,0,62372,48.62,29.0
407,United States,Professional,M,M,1,0,0,133099,52.28,26.0
408,United States,Clerical,F,S,0,0,0,85962,54.34,21.0
409,United States,Professional,M,M,1,0,2,129522,55.38,49.0
410,United States,Manual,F,M,1,1,1,34135,47.29,45.0
411,France,Skilled Manual,M,M,1,0,1,59521,55.15,31.0
412,France,Manual,F,M,1,1,2,34487,48.22,38.0
413,France,Skilled Manual,M,S,0,0,0,54306,50.16,16.0
414,United States,Clerical,F,S,1,0,0,79606,53.6,43.0
415,United States,Clerical,M,S,0,0,0,77126,56.14,30.0
416,United Kingdom,Skilled Manual,M,S,0,0,0,59362,51.25,37.0
417,United Kingdom,Manual,F,S,0,0,0,34019,47.17,24.0
418,United Kingdom,Professional,F,S,1,0,0,129567,56.05,28.0
419,France,Skilled Manual,M,S,0,0,0,60667,54.42,31.0
420,United Kingdom,Professional,F,M,1,0,2,138022,52.27,63.0
421,Australia,Skilled Manual,F,S,0,0,0,53629,50.52,20.0
422,Australia,Management,M,S,1,0,0,107890,60.61,37.0
423,Germany,Clerical,M,S,0,0,0,83477,52.7,20.0
424,United States,Manual,F,S,0,0,0,25978,47.12,20.0
425,Australia,Skilled Manual,F,M,1,0,2,57948,48.43,50.0
426,Australia,Manual,M,S,0,0,0,27626,46.56,20.0
427,United States,Skilled Manual,F,M,1,0,1,52502,48.7,38.0
428,United Kingdom,Manual,F,M,1,0,2,32859,45.89,47.0
429,United States,Manual,F,M,0,0,2,34470,47.09,31.0
430,United States,Manual,M,M,1,0,2,33994,45.66,48.0
431,Germany,Skilled Manual,F,S,0,0,0,56889,50.49,26.0
